game_id,team_name,team_KD_win,team_KD_loss
164139,GIANTX,1.02,
164139,Team Liquid,,0.98
164140,GIANTX,,0.82
164140,Team Liquid,1.22,
164141,GIANTX,,0.91
164141,Team Liquid,1.10,
164142,FNATIC,1.07,
164142,KOI,,0.94
164143,FNATIC,1.56,
164143,KOI,,0.64
164145,Team Heretics,1.97,
164145,Team Liquid,,0.51
164146,Team Heretics,1.29,
164146,Team Liquid,,0.78
164148,Gentle Mates,1.39,
164148,Team Vitality,,0.72
164149,Gentle Mates,1.33,
164149,Team Vitality,,0.74
164151,FNATIC,,0.78
164151,FUT Esports,1.27,
164152,FNATIC,,1.05
164152,FUT Esports,0.95,
164154,BBL Esports,,0.76
164154,Natus Vincere,1.31,
164155,BBL Esports,1.18,
164155,Natus Vincere,,0.85
164156,BBL Esports,1.05,
164156,Natus Vincere,,0.95
164157,GIANTX,1.06,
164157,Team Vitality,,0.95
164158,GIANTX,,0.68
164158,Team Vitality,1.45,
164159,GIANTX,,0.75
164159,Team Vitality,1.33,
164160,KOI,,0.77
164160,Karmine Corp,1.31,
164161,KOI,1.17,
164161,Karmine Corp,,0.86
164162,KOI,,0.88
164162,Karmine Corp,1.14,
164163,BBL Esports,,0.78
164163,GIANTX,1.29,
164164,BBL Esports,,0.91
164164,GIANTX,1.09,
164166,Karmine Corp,,0.98
164166,Team Heretics,1.02,
164167,Karmine Corp,1.79,
164167,Team Heretics,,0.54
164168,Karmine Corp,,0.83
164168,Team Heretics,1.20,
164169,KOI,1.67,
164169,Team Vitality,,0.60
164170,KOI,,0.87
164170,Team Vitality,1.15,
164171,KOI,1.73,
164171,Team Vitality,,0.58
164172,FNATIC,1.41,
164172,Natus Vincere,,0.69
164173,FNATIC,,0.96
164173,Natus Vincere,1.04,
164174,FNATIC,,0.59
164174,Natus Vincere,1.69,
164175,Gentle Mates,,0.76
