game_id,team_name,team_KD,win
178820,Cloud9,1.01,1
178821,KRÜ Esports,1.52,1
178822,100 Thieves,1.23,1
178823,100 Thieves,1.02,1
178825,LEVIATÁN,2.09,1
178826,LEVIATÁN,2.0,1
178828,G2 Esports,1.49,1
178829,G2 Esports,1.13,1
178831,G2 Esports,1.01,1
178832,G2 Esports,1.07,1
178834,LEVIATÁN,1.32,1
178835,LEVIATÁN,1.13,1
178836,G2 Esports,1.1,1
178837,LEVIATÁN,2.17,1
178839,100 Thieves,1.18,1
178840,KRÜ Esports,1.13,1
178841,KRÜ Esports,0.99,1
178842,LEVIATÁN,2.03,1
178843,KRÜ Esports,1.03,1
178844,KRÜ Esports,1.28,1
178845,LEVIATÁN,1.18,1
178846,LEVIATÁN,1.24,1
178847,Natus Vincere,1.1,1
178848,Team Vitality,1.65,1
178849,Team Vitality,1.25,1
178850,Karmine Corp,1.23,1
178851,FNATIC,1.06,1
178852,FNATIC,1.22,1
178853,Team Heretics,1.06,1
178854,Team Vitality,1.14,1
178855,Team Vitality,1.0,1
178856,FNATIC,0.98,1
178857,FNATIC,1.46,1
178859,FNATIC,1.17,1
178860,FNATIC,1.26,1
178862,FNATIC,1.42,1
178863,Team Vitality,1.07,1
178864,FNATIC,1.1,1
178865,FNATIC,1.73,1
178867,Team Heretics,1.18,1
178868,Team Heretics,1.01,1
178870,Team Heretics,1.27,1
178871,Team Vitality,1.43,1
178872,Team Vitality,1.83,1
178873,Team Vitality,1.12,1
180354,FNATIC,1.04,1
180355,FNATIC,1.62,1
180357,KRÜ Esports,1.92,1
180358,DRX,1.28,1
180359,DRX,1.43,1
180360,DRX,1.11,1
180361,DRX,1.17,1
180363,KRÜ Esports,1.44,1
180364,KRÜ Esports,1.54,1
180366,KRÜ Esports,0.95,1
180367,FNATIC,1.22,1
180368,FNATIC,1.23,1
180369,Gen.G,1.3,1
180370,Gen.G,1.31,1
180372,Team Heretics,1.01,1
180373,FunPlus Phoenix,1.08,1
180374,Team Heretics,0.99,1
180375,Gen.G,1.01,1
180376,Team Heretics,1.08,1
180377,Team Heretics,1.11,1
180378,Sentinels,1.19,1
180379,Sentinels,1.58,1
180381,Sentinels,1.16,1
180382,Sentinels,1.43,1
180384,LEVIATÁN,0.9,1
180385,LEVIATÁN,1.32,1
180387,Trace Esports,1.17,1
180388,Team Vitality,1.3,1
180389,Trace Esports,1.34,1
180390,Trace Esports,1.1,1
180391,LEVIATÁN,1.24,1
180392,Trace Esports,1.36,1
180393,Team Vitality,1.35,1
180394,Team Vitality,1.19,1
180396,LEVIATÁN,0.97,1
180397,LEVIATÁN,1.45,1
180399,EDward Gaming,1.04,1
180400,EDward Gaming,1.13,1
180402,G2 Esports,1.15,1
180403,G2 Esports,1.21,1
180405,EDward Gaming,1.31,1
180406,G2 Esports,1.03,1
180407,G2 Esports,1.01,1
180408,Paper Rex,0.98,1
180409,Paper Rex,1.37,1
180411,Paper Rex,1.31,1
180412,EDward Gaming,1.29,1
180413,EDward Gaming,1.57,1
180414,Sentinels,1.04,1
180415,Sentinels,1.19,1
180417,EDward Gaming,1.33,1
180418,EDward Gaming,1.05,1
180420,LEVIATÁN,1.03,1
180421,LEVIATÁN,1.48,1
180423,Team Heretics,1.78,1
180424,Team Heretics,0.88,1
180426,Sentinels,1.13,1
180427,EDward Gaming,0.97,1
180428,EDward Gaming,1.24,1
180429,LEVIATÁN,0.99,1
180430,LEVIATÁN,1.14,1
180432,LEVIATÁN,1.05,1
180433,EDward Gaming,1.35,1
180435,Team Heretics,1.24,1
180436,EDward Gaming,1.75,1
180437,EDward Gaming,1.21,1
180438,Team Heretics,1.06,1
180439,EDward Gaming,1.33,1
180440,DRX,1.72,1
180441,DRX,1.13,1
180443,FNATIC,1.78,1
180444,FNATIC,1.24,1
180446,DRX,1.34,1
180447,Team Heretics,1.43,1
180448,Team Heretics,1.21,1
180449,Sentinels,0.98,1
180450,FNATIC,1.35,1
180451,Sentinels,1.3,1
180452,Sentinels,1.41,1
180453,Team Heretics,1.23,1
180454,Team Heretics,1.4,1
180455,Team Heretics,1.3,1
180456,Team Heretics,1.09,1
180457,LEVIATÁN,1.21,1
180458,Team Heretics,1.68,1
182971,EDward Gaming,1.06,1
153722,FURIA,0.85,0
153723,FURIA,0.82,0
153725,MIBR,0.78,0
153726,Cloud9,0.88,0
153727,MIBR,0.99,0
153728,Cloud9,0.74,0
153729,Cloud9,1.01,0
153731,FURIA,0.89,0
153732,FURIA,0.98,0
153734,Cloud9,1.1,0
153735,Cloud9,0.78,0
153737,Sentinels,0.91,0
153738,Sentinels,1.03,0
153740,100 Thieves,0.76,0
153741,LEVIATÁN,0.53,0
153742,100 Thieves,0.86,0
153743,LOUD,0.93,0
153744,LEVIATÁN,0.81,0
153745,LEVIATÁN,0.79,0
153746,100 Thieves,0.65,0
153747,Sentinels,0.86,0
153748,100 Thieves,0.77,0
153749,LEVIATÁN,0.69,0
153750,Sentinels,0.75,0
153751,LEVIATÁN,0.82,0
153752,G2 Esports,0.9,0
153753,KRÜ Esports,0.74,0
153754,KRÜ Esports,1.07,0
153758,G2 Esports,1.0,0
153759,G2 Esports,0.93,0
153764,KRÜ Esports,0.84,0
153765,KRÜ Esports,0.84,0
155114,Global Esports,0.83,0
155115,Global Esports,0.65,0
155117,Team Secret,0.82,0
155118,Team Secret,0.45,0
155120,Talon Esports,0.84,0
155121,Talon Esports,0.77,0
155123,DetonatioN FocusMe,0.82,0
155124,DetonatioN FocusMe,0.92,0
155126,Talon Esports,0.7,0
155127,Talon Esports,0.74,0
155129,BLEED,0.92,0
155130,BLEED,0.79,0
155132,DetonatioN FocusMe,0.76,0
155133,DetonatioN FocusMe,0.78,0
155135,T1,0.93,0
155136,ZETA DIVISION,0.57,0
155137,ZETA DIVISION,0.8,0
155138,BLEED,0.96,0
155139,Global Esports,0.93,0
155140,BLEED,0.86,0
155141,Global Esports,0.6,0
155142,Global Esports,0.59,0
155159,Rex Regum Qeon,0.94,0
155160,Gen.G,1.03,0
155161,Rex Regum Qeon,0.93,0
155165,Paper Rex,0.96,0
155166,Gen.G,1.04,0
155167,Gen.G,0.71,0
155171,Rex Regum Qeon,0.81,0
155172,Gen.G,0.93,0
155173,Rex Regum Qeon,0.84,0
155759,ZETA DIVISION,0.58,0
